
-------------------------------------------------------------------------------
log file opened: 17-Apr-2013 18:00:42 NLX time:   1104894795
-------------------------------------------------------------------------------
    1   1108623538    0    0   255 # +      -29.614 ms 	NLX_TRIAL_START
    3   1108653152    0    0   253 #    1108653.152 ms 	NLX_TRIALPARAM_START
   13   1108727955    0    0     2 # +       27.433 ms 	NLX_RECORD_START
   15   1108746264    0    0     4 # +       18.309 ms 	NLX_SUBJECT_START
   16   1109252868    0    0     8 # +      506.604 ms 	NLX_STIM_ON
   18   1109429600    0    0     8 # +      176.732 ms 	NLX_STIM_ON
   20   1109606363    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   22   1109783126    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   24   1109959858    0    0     8 # +      176.732 ms 	NLX_STIM_ON
   26   1110136621    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   28   1110313384    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   30   1110490116    0    0     8 # +      176.732 ms 	NLX_STIM_ON
   32   1110666879    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   34   1110843641    0    0     8 # +      176.762 ms 	NLX_STIM_ON
   36   1111020374    0    0     8 # +      176.733 ms 	NLX_STIM_ON
   38   1111197167    0    0     8 # +      176.793 ms 	NLX_STIM_ON
   40   1111373899    0    0     8 # +      176.732 ms 	NLX_STIM_ON
   42   1111550632    0    0     8 # +      176.733 ms 	NLX_STIM_ON
   44   1111727394    0    0     8 # +      176.762 ms 	NLX_STIM_ON
   46   1111904157    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   48   1112080920    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   50   1112257652    0    0     8 # +      176.732 ms 	NLX_STIM_ON
   52   1112434415    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   54   1112611178    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   56   1112787910    0    0     8 # +      176.732 ms 	NLX_STIM_ON
   58   1112964673    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   60   1113141436    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   62   1113318168    0    0     8 # +      176.732 ms 	NLX_STIM_ON
   64   1113494931    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   66   1113671694    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   68   1113848426    0    0     8 # +      176.732 ms 	NLX_STIM_ON
   70   1114025189    0    0    16 # +      176.763 ms 	NLX_STIM_OFF
   71   1114036985    0    0    32 # +       11.796 ms 	NLX_SUBJECT_END
   73   1114053851    0    0    64 # +       16.866 ms 	NLX_RECORD_END
   75   1114166532    0    0   251 # +      112.681 ms 	NLX_STIMPARAM_START
  141   1114562451    0    0   128 # +       12.011 ms 	NLX_READ_DATA
