
-------------------------------------------------------------------------------
log file opened: 17-Apr-2013 18:10:16 NLX time:   1678278587
-------------------------------------------------------------------------------
    1   1683378149    0    0   255 # +      -65.004 ms 	NLX_TRIAL_START
    3   1683407394    0    0   253 #    1683407.394 ms 	NLX_TRIALPARAM_START
   13   1683482597    0    0     2 # +       27.464 ms 	NLX_RECORD_START
   15   1683500507    0    0     4 # +       17.910 ms 	NLX_SUBJECT_START
   16   1684007080    0    0     8 # +      506.573 ms 	NLX_STIM_ON
   18   1684183842    0    0     8 # +      176.762 ms 	NLX_STIM_ON
   20   1684360575    0    0     8 # +      176.733 ms 	NLX_STIM_ON
   22   1684537337    0    0     8 # +      176.762 ms 	NLX_STIM_ON
   24   1684714100    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   26   1684890863    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   28   1685067595    0    0     8 # +      176.732 ms 	NLX_STIM_ON
   30   1685244358    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   32   1685421121    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   34   1685597853    0    0     8 # +      176.732 ms 	NLX_STIM_ON
   36   1685774616    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   38   1685951379    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   40   1686128111    0    0     8 # +      176.732 ms 	NLX_STIM_ON
   42   1686304874    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   44   1686481637    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   46   1686658369    0    0     8 # +      176.732 ms 	NLX_STIM_ON
   48   1686835132    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   50   1687011895    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   52   1687188627    0    0     8 # +      176.732 ms 	NLX_STIM_ON
   54   1687365390    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   56   1687542153    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   58   1687718885    0    0     8 # +      176.732 ms 	NLX_STIM_ON
   60   1687895648    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   62   1688072411    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   64   1688249143    0    0     8 # +      176.732 ms 	NLX_STIM_ON
   66   1688425906    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   68   1688602669    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   70   1688779401    0    0    16 # +      176.732 ms 	NLX_STIM_OFF
   71   1688791197    0    0    32 # +       11.796 ms 	NLX_SUBJECT_END
   73   1688808493    0    0    64 # +       17.296 ms 	NLX_RECORD_END
   75   1688921143    0    0   251 # +      112.650 ms 	NLX_STIMPARAM_START
  141   1689317093    0    0   128 # +       12.012 ms 	NLX_READ_DATA
