
-------------------------------------------------------------------------------
log file opened: 17-Apr-2013 17:56:07 NLX time:    829865593
-------------------------------------------------------------------------------
    1    835466244    0    0   255 #     835466.244 ms 	NLX_TRIAL_START
    3    835498715    0    0   253 #     835498.715 ms 	NLX_TRIALPARAM_START
   13    835573672    0    0     2 # +       27.433 ms 	NLX_RECORD_START
   15    835591827    0    0     4 # +       18.155 ms 	NLX_SUBJECT_START
   16    836098400    0    0     8 # +      506.573 ms 	NLX_STIM_ON
   18    836275163    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   20    836451926    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   22    836628658    0    0     8 # +      176.732 ms 	NLX_STIM_ON
   24    836805421    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   26    836982184    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   28    837158916    0    0     8 # +      176.732 ms 	NLX_STIM_ON
   30    837335679    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   32    837512441    0    0     8 # +      176.762 ms 	NLX_STIM_ON
   34    837689204    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   36    837865937    0    0     8 # +      176.733 ms 	NLX_STIM_ON
   38    838042699    0    0     8 # +      176.762 ms 	NLX_STIM_ON
   40    838219432    0    0     8 # +      176.733 ms 	NLX_STIM_ON
   42    838396194    0    0     8 # +      176.762 ms 	NLX_STIM_ON
   44    838572957    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   46    838749689    0    0     8 # +      176.732 ms 	NLX_STIM_ON
   48    838926452    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   50    839103215    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   52    839279947    0    0     8 # +      176.732 ms 	NLX_STIM_ON
   54    839456710    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   56    839633473    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   58    839810236    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   60    839986968    0    0     8 # +      176.732 ms 	NLX_STIM_ON
   62    840163731    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   64    840340463    0    0     8 # +      176.732 ms 	NLX_STIM_ON
   66    840517226    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   68    840693989    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   70    840870721    0    0    16 # +      176.732 ms 	NLX_STIM_OFF
   71    840882518    0    0    32 # +       11.797 ms 	NLX_SUBJECT_END
   73    840899598    0    0    64 # +       17.080 ms 	NLX_RECORD_END
   75    841113225    0    0   251 # +      213.627 ms 	NLX_STIMPARAM_START
  141    841509175    0    0   128 # +       12.012 ms 	NLX_READ_DATA
