
-------------------------------------------------------------------------------
log file opened: 17-Apr-2013 18:13:09 NLX time:   1851071277
-------------------------------------------------------------------------------
    1   1857276973    0    0   255 # +      -42.977 ms 	NLX_TRIAL_START
    3   1857308921    0    0   253 #    1857308.921 ms 	NLX_TRIALPARAM_START
   13   1857383417    0    0     2 # +       27.463 ms 	NLX_RECORD_START
   15   1857402034    0    0     4 # +       18.617 ms 	NLX_SUBJECT_START
   16   1857908607    0    0     8 # +      506.573 ms 	NLX_STIM_ON
   18   1858085369    0    0     8 # +      176.762 ms 	NLX_STIM_ON
   20   1858262132    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   22   1858438865    0    0     8 # +      176.733 ms 	NLX_STIM_ON
   24   1858615627    0    0     8 # +      176.762 ms 	NLX_STIM_ON
   26   1858792360    0    0     8 # +      176.733 ms 	NLX_STIM_ON
   28   1858969122    0    0     8 # +      176.762 ms 	NLX_STIM_ON
   30   1859145885    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   32   1859322648    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   34   1859499380    0    0     8 # +      176.732 ms 	NLX_STIM_ON
   36   1859676143    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   38   1859852906    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   40   1860029638    0    0     8 # +      176.732 ms 	NLX_STIM_ON
   42   1860206401    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   44   1860383164    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   46   1860559896    0    0     8 # +      176.732 ms 	NLX_STIM_ON
   48   1860736659    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   50   1860913422    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   52   1861090154    0    0     8 # +      176.732 ms 	NLX_STIM_ON
   54   1861266917    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   56   1861443680    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   58   1861620443    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   60   1861797175    0    0     8 # +      176.732 ms 	NLX_STIM_ON
   62   1861973938    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   64   1862150670    0    0     8 # +      176.732 ms 	NLX_STIM_ON
   66   1862327433    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   68   1862504196    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   70   1862680928    0    0    16 # +      176.732 ms 	NLX_STIM_OFF
   71   1862692724    0    0    32 # +       11.796 ms 	NLX_SUBJECT_END
   73   1862709313    0    0    64 # +       16.589 ms 	NLX_RECORD_END
   75   1862821963    0    0   251 # +      112.650 ms 	NLX_STIMPARAM_START
  141   1863217883    0    0   128 # +       11.981 ms 	NLX_READ_DATA
  143   1863250262    0    0   254 # +       32.379 ms 	NLX_TRIAL_END
